k,Sample Mean (Y),Sample Variance (Y),Sample Mean (2^Y),Sample Variance (2^Y),,,,log(2)k,Add. Constant,,Completion time (s)
1,1.0069,0.662918682,2.3902,2.790823042,,,,0,1.0069,,2012
2,1.6739,0.834442234,3.9426,9.156220862,,,,1,0.6739,,
3,2.1402,0.885232483,5.51,18.98079808,,,,1.584962501,0.555237499,,
4,2.4964,0.913878428,7.115,33.79335434,,,,2,0.4964,,
5,2.7904,0.914759316,8.6887,47.65775809,,,,2.321928095,0.468471905,,
6,3.0348,0.944883448,10.3874,70.47376862,,,,2.584962501,0.449837499,,
7,3.2489,0.929241714,12.0072,93.88273643,,,,2.807354922,0.441545078,,
8,3.4121,0.948768467,13.506,124.9628603,,,,3,0.4121,,
9,3.5659,0.936550845,14.9508,143.1014895,,,,3.169925001,0.395974999,,
10,3.7314,0.952149255,16.8526,186.0992832,,,,3.321928095,0.409471905,,
11,3.8533,0.954274537,18.3244,218.1741821,,,,3.459431619,0.393868381,,
12,3.9745,0.984948245,20.068,266.560432,,,,3.584962501,0.389537499,,
13,4.0821,0.968256416,21.5194,300.4074644,,,,3.700439718,0.381660282,,
14,4.191,0.987417742,23.4116,390.7576612,,,,3.807354922,0.383645078,,
15,4.2833,0.964337544,24.8124,424.6664729,,,,3.906890596,0.376409404,,
16,4.3757,0.954044914,26.327,446.0652775,,,,4,0.3757,,
17,4.4605,0.967936544,28.0332,534.0435021,,,,4.087462841,0.373037159,,
18,4.5324,0.961646405,29.3768,556.7616979,,,,4.169925001,0.362474999,,
19,4.6536,0.984105451,32.2216,746.095903,,,,4.247927513,0.405672487,,
20,4.6903,0.958481758,32.6988,686.6315417,,,,4.321928095,0.368371905,,
21,4.7584,0.958125253,34.2888,735.7757721,,,,4.392317423,0.366082577,,
22,4.8229,0.947630353,35.8132,819.8502908,,,,4.459431619,0.363468381,,
23,4.8833,0.972578368,37.6032,939.8469345,,,,4.523561956,0.359738044,,
24,4.9494,0.954135054,39.12,959.0847085,,,,4.584962501,0.364437499,,
25,5.0076,0.939836224,40.6098,1056.633407,,,,4.64385619,0.36374381,,
26,5.0586,0.930459086,42.0196,1134.762692,,,,4.700439718,0.358160282,,
27,5.1122,0.949506111,43.7256,1175.594264,,,,4.754887502,0.357312498,,
28,5.1367,0.968309941,44.66,1301.108911,,,,4.807354922,0.329345078,,
29,5.2066,0.954411881,46.6948,1377.062959,,,,4.857980995,0.348619005,,
30,5.2532,0.942984058,48.0688,1413.992666,,,,4.906890596,0.346309404,,
31,5.2984,0.945051945,49.7096,1552.986166,,,,4.95419631,0.34420369,,
32,5.3492,0.979957356,52.0844,1865.13459,,,,5,0.3492,,
33,5.3941,0.962681458,53.4384,1936.963102,,,,5.044394119,0.349705881,,
