k,Sample Mean (Y),Sample Variance (Y),Sample Mean (2^Y),Sample Variance (2^Y),,,,log(2)k,Add. Constant,,Completion time (s)
1,1,0,2,0,,,,0,1,,1414
2,1.6564,0.225561596,3.3128,0.902246385,,,,1,0.6564,,
3,2.1452,0.409957956,4.8666,4.430647505,,,,1.584962501,0.560237499,,
4,2.5121,0.522905881,6.4756,11.88939358,,,,2,0.5121,,
5,2.7994,0.627022342,8.1176,24.25499574,,,,2.321928095,0.477471905,,
6,3.0444,0.68069671,9.7582,39.53228599,,,,2.584962501,0.459437499,,
7,3.2432,0.702724032,11.2762,56.04051761,,,,2.807354922,0.435845078,,
8,3.4086,0.729318972,12.7246,74.21877672,,,,3,0.4086,,
9,3.5763,0.781256436,14.4942,108.6830347,,,,3.169925001,0.406374999,,
10,3.7219,0.793039694,16.0514,127.7385319,,,,3.321928095,0.399971905,,
11,3.8599,0.809152905,17.7754,169.7573306,,,,3.459431619,0.400468381,,
12,3.9693,0.810438554,19.1664,194.3757486,,,,3.584962501,0.384337499,,
13,4.0917,0.834174527,20.9716,238.9302865,,,,3.700439718,0.391260282,,
14,4.191,0.85980498,22.6044,292.8415848,,,,3.807354922,0.383645078,,
15,4.3022,0.833958556,24.2812,321.8331099,,,,3.906890596,0.395309404,,
16,4.3593,0.845488059,25.3468,363.0048302,,,,4,0.3593,,
17,4.4642,0.85920428,27.3224,421.9894572,,,,4.087462841,0.376737159,,
18,4.5301,0.879781968,28.7592,485.6289783,,,,4.169925001,0.360174999,,
19,4.5984,0.87320476,30.1104,524.6674786,,,,4.247927513,0.350472487,,
20,4.6811,0.883691159,32.058,648.5110871,,,,4.321928095,0.359171905,,
21,4.7638,0.90790035,34.1288,765.1287234,,,,4.392317423,0.371482577,,
22,4.8296,0.884652305,35.4808,751.7608074,,,,4.459431619,0.370168381,,
23,4.8912,0.894852045,37.0748,830.8654915,,,,4.523561956,0.367638044,,
24,4.9502,0.877407701,38.4272,868.4067408,,,,4.584962501,0.365237499,,
25,5.0007,0.892188729,39.8868,926.9678825,,,,4.64385619,0.35684381,,
26,5.0351,0.887556746,40.8864,1007.164612,,,,4.700439718,0.334660282,,
27,5.1219,0.919532343,43.7868,1196.568603,,,,4.754887502,0.367012498,,
28,5.1475,0.889432693,44.1596,1128.053733,,,,4.807354922,0.340145078,,
29,5.2113,0.914943804,46.5812,1386.575264,,,,4.857980995,0.353319005,,
30,5.2576,0.916733913,48.0792,1451.943722,,,,4.906890596,0.350709404,,
31,5.3124,0.90209645,49.6096,1439.652353,,,,4.95419631,0.35820369,,
32,5.3406,0.883279968,50.3816,1459.517133,,,,5,0.3406,,
33,5.3902,0.904834443,52.5252,1648.168982,,,,5.044394119,0.345805881,,
34,5.4223,0.892651975,53.516,1726.552799,,,,5.087462841,0.334837159,,
35,5.4496,0.908350675,54.8008,1859.50307,,,,5.129283017,0.320316983,,
36,5.5238,0.909724532,57.776,2112.129037,,,,5.169925001,0.353874999,,
37,5.5515,0.931440894,59.1,2236.661666,,,,5.209453366,0.342046634,,
38,5.5975,0.893583108,60.4032,2148.327463,,,,5.247927513,0.349572487,,
39,5.6218,0.905055266,61.7008,2343.453625,,,,5.285402219,0.336397781,,
40,5.647,0.889279928,62.444,2261.376202,,,,5.321928095,0.325071905,,
41,5.6981,0.894445835,64.8032,2491.943264,,,,5.357552005,0.340547995,,
42,5.7338,0.936631223,67.1468,2809.381788,,,,5.392317423,0.341482577,,
43,5.7606,0.928780518,68.2288,2910.830734,,,,5.426264755,0.334335245,,
44,5.7959,0.889532143,69.2192,2778.644216,,,,5.459431619,0.336468381,,
45,5.8515,0.912338984,72.4456,3167.89423,,,,5.491853096,0.359646904,,
46,5.8472,0.909343094,72.1288,3175.603371,,,,5.523561956,0.323638044,,
